"DATE","TIME PERIOD","(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T)"
"1993-01-31","1993Jan","4.721684"
"1993-02-28","1993Feb","4.534928"
"1993-03-31","1993Mar","4.342644"
"1993-04-30","1993Apr","4.328008"
"1993-05-31","1993May","4.278700"
"1993-06-30","1993Jun","4.206515"
"1993-07-31","1993Jul","4.617035"
"1993-08-31","1993Aug","4.393117"
"1993-09-30","1993Sep","3.947691"
"1993-10-31","1993Oct","4.303459"
"1993-11-30","1993Nov","3.935153"
"1993-12-31","1993Dec","4.278969"
"1994-01-31","1994Jan","4.331936"
"1994-02-28","1994Feb","4.287966"
"1994-03-31","1994Mar","4.068966"
"1994-04-30","1994Apr","4.344395"
"1994-05-31","1994May","3.860924"
"1994-06-30","1994Jun","4.348976"
"1994-07-31","1994Jul","4.303840"
"1994-08-31","1994Aug","4.516230"
"1994-09-30","1994Sep","4.566707"
"1994-10-31","1994Oct","4.372330"
"1994-11-30","1994Nov","4.120001"
"1994-12-31","1994Dec","4.415185"
"1995-01-31","1995Jan","4.295428"
"1995-02-28","1995Feb","4.254496"
"1995-03-31","1995Mar","4.323305"
"1995-04-30","1995Apr","3.998273"
"1995-05-31","1995May","3.815452"
"1995-06-30","1995Jun","4.249825"
"1995-07-31","1995Jul","4.150600"
"1995-08-31","1995Aug","4.126522"
"1995-09-30","1995Sep","3.848768"
"1995-10-31","1995Oct","3.891671"
"1995-11-30","1995Nov","3.623568"
"1995-12-31","1995Dec","3.637284"
"1996-01-31","1996Jan","4.008737"
"1996-02-29","1996Feb","3.555371"
"1996-03-31","1996Mar","3.608351"
"1996-04-30","1996Apr","3.873307"
"1996-05-31","1996May","3.664883"
"1996-06-30","1996Jun","3.777291"
"1996-07-31","1996Jul","3.877906"
"1996-08-31","1996Aug","4.139487"
"1996-09-30","1996Sep","4.014944"
"1996-10-31","1996Oct","3.842864"
"1996-11-30","1996Nov","4.029443"
"1996-12-31","1996Dec","4.293854"
"1997-01-31","1997Jan","4.430324"
"1997-02-28","1997Feb","4.262993"
"1997-03-31","1997Mar","4.153835"
"1997-04-30","1997Apr","4.401276"
"1997-05-31","1997May","4.345850"
"1997-06-30","1997Jun","4.673350"
"1997-07-31","1997Jul","4.918648"
"1997-08-31","1997Aug","5.020985"
"1997-09-30","1997Sep","5.038896"
"1997-10-31","1997Oct","5.082631"
"1997-11-30","1997Nov","5.330387"
"1997-12-31","1997Dec","5.712677"
"1998-01-31","1998Jan","5.858387"
"1998-02-28","1998Feb","5.806785"
"1998-03-31","1998Mar","6.054478"
"1998-04-30","1998Apr","5.760538"
"1998-05-31","1998May","5.659198"
"1998-06-30","1998Jun","6.228432"
"1998-07-31","1998Jul","6.719958"
"1998-08-31","1998Aug","6.677652"
"1998-09-30","1998Sep","6.850392"
"1998-10-31","1998Oct","7.397871"
"1998-11-30","1998Nov","7.172956"
"1998-12-31","1998Dec","7.198144"
"1999-01-31","1999Jan","8.317231"
"1999-02-28","1999Feb","8.406260"
"1999-03-31","1999Mar","8.513938"
"1999-04-30","1999Apr","8.534733"
"1999-05-31","1999May","8.574085"
"1999-06-30","1999Jun","8.198574"
"1999-07-31","1999Jul","8.708037"
"1999-08-31","1999Aug","9.146067"
"1999-09-30","1999Sep","9.103107"
"1999-10-31","1999Oct","8.997844"
"1999-11-30","1999Nov","8.853444"
"1999-12-31","1999Dec","9.119228"
"2000-01-31","2000Jan","9.571075"
"2000-02-29","2000Feb","9.582628"
"2000-03-31","2000Mar","9.373031"
"2000-04-30","2000Apr","8.998404"
"2000-05-31","2000May","8.755539"
"2000-06-30","2000Jun","8.339005"
"2000-07-31","2000Jul","8.675324"
"2000-08-31","2000Aug","8.692884"
"2000-09-30","2000Sep","8.299683"
"2000-10-31","2000Oct","8.303085"
"2000-11-30","2000Nov","8.449680"
"2000-12-31","2000Dec","8.177922"
"2001-01-31","2001Jan","8.644318"
"2001-02-28","2001Feb","8.632357"
"2001-03-31","2001Mar","8.128027"
"2001-04-30","2001Apr","8.168194"
"2001-05-31","2001May","7.860486"
"2001-06-30","2001Jun","7.829463"
"2001-07-31","2001Jul","8.047269"
"2001-08-31","2001Aug","8.478806"
"2001-09-30","2001Sep","8.220841"
"2001-10-31","2001Oct","7.571029"
"2001-11-30","2001Nov","7.870636"
"2001-12-31","2001Dec","8.112955"
"2002-01-31","2002Jan","7.552943"
"2002-02-28","2002Feb","7.845992"
"2002-03-31","2002Mar","7.633456"
"2002-04-30","2002Apr","6.765702"
"2002-05-31","2002May","7.075011"
"2002-06-30","2002Jun","7.126389"
"2002-07-31","2002Jul","6.974232"
"2002-08-31","2002Aug","7.489888"
"2002-09-30","2002Sep","7.203572"
"2002-10-31","2002Oct","6.899989"
"2002-11-30","2002Nov","7.481607"
"2002-12-31","2002Dec","7.407283"
"2003-01-31","2003Jan","7.365059"
"2003-02-28","2003Feb","7.636099"
"2003-03-31","2003Mar","7.724705"
"2003-04-30","2003Apr","7.383138"
"2003-05-31","2003May","7.613729"
"2003-06-30","2003Jun","7.529009"
"2003-07-31","2003Jul","7.889536"
"2003-08-31","2003Aug","7.929672"
"2003-09-30","2003Sep","8.079638"
"2003-10-31","2003Oct","7.921840"
"2003-11-30","2003Nov","8.047901"
"2003-12-31","2003Dec","8.252109"
"2004-01-31","2004Jan","8.744976"
"2004-02-29","2004Feb","9.089651"
"2004-03-31","2004Mar","8.196066"
"2004-04-30","2004Apr","8.305922"
"2004-05-31","2004May","8.447530"
"2004-06-30","2004Jun","7.831156"
"2004-07-31","2004Jul","8.073904"
"2004-08-31","2004Aug","8.413259"
"2004-09-30","2004Sep","8.090259"
"2004-10-31","2004Oct","8.547409"
"2004-11-30","2004Nov","8.231983"
"2004-12-31","2004Dec","7.702903"
"2005-01-31","2005Jan","8.611471"
"2005-02-28","2005Feb","8.559355"
"2005-03-31","2005Mar","7.928304"
"2005-04-30","2005Apr","7.988179"
"2005-05-31","2005May","7.788672"
"2005-06-30","2005Jun","7.660571"
"2005-07-31","2005Jul","7.712834"
"2005-08-31","2005Aug","7.848827"
"2005-09-30","2005Sep","7.804140"
"2005-10-31","2005Oct","7.795436"
"2005-11-30","2005Nov","7.699882"
"2005-12-31","2005Dec","7.854623"
"2006-01-31","2006Jan","8.226236"
"2006-02-28","2006Feb","7.615577"
"2006-03-31","2006Mar","8.076994"
"2006-04-30","2006Apr","7.126961"
"2006-05-31","2006May","6.765736"
"2006-06-30","2006Jun","7.320410"
"2006-07-31","2006Jul","7.020247"
"2006-08-31","2006Aug","6.827692"
"2006-09-30","2006Sep","7.213966"
"2006-10-31","2006Oct","6.521812"
"2006-11-30","2006Nov","6.427978"
"2006-12-31","2006Dec","6.647524"
"2007-01-31","2007Jan","6.281684"
"2007-02-28","2007Feb","6.013095"
"2007-03-31","2007Mar","5.766595"
"2007-04-30","2007Apr","5.478441"
"2007-05-31","2007May","5.248677"
"2007-06-30","2007Jun","5.171425"
"2007-07-31","2007Jul","5.275962"
"2007-08-31","2007Aug","5.012189"
"2007-09-30","2007Sep","5.095844"
"2007-10-31","2007Oct","5.014484"
"2007-11-30","2007Nov","4.635069"
"2007-12-31","2007Dec","4.900800"
"2008-01-31","2008Jan","4.891034"
