"DATE","TIME PERIOD","(LFSI.M.FR.S.UNEHRT.TOTAL0.15_74.T)"
"1983-01-31","1983Jan","7.057988"
"1983-02-28","1983Feb","6.733520"
"1983-03-31","1983Mar","6.700560"
"1983-04-30","1983Apr","7.002699"
"1983-05-31","1983May","7.211908"
"1983-06-30","1983Jun","7.376763"
"1983-07-31","1983Jul","7.468825"
"1983-08-31","1983Aug","7.585031"
"1983-09-30","1983Sep","7.697085"
"1983-10-31","1983Oct","7.816434"
"1983-11-30","1983Nov","7.911711"
"1983-12-31","1983Dec","8.000775"
"1984-01-31","1984Jan","8.064867"
"1984-02-29","1984Feb","8.143540"
"1984-03-31","1984Mar","8.223059"
"1984-04-30","1984Apr","8.289314"
"1984-05-31","1984May","8.366925"
"1984-06-30","1984Jun","8.442037"
"1984-07-31","1984Jul","8.504789"
"1984-08-31","1984Aug","8.575836"
"1984-09-30","1984Sep","8.645796"
"1984-10-31","1984Oct","8.746996"
"1984-11-30","1984Nov","8.776482"
"1984-12-31","1984Dec","8.772042"
"1985-01-31","1985Jan","8.733249"
"1985-02-28","1985Feb","8.705156"
"1985-03-31","1985Mar","8.687407"
"1985-04-30","1985Apr","8.670514"
"1985-05-31","1985May","8.663070"
"1985-06-30","1985Jun","8.695007"
"1985-07-31","1985Jul","8.662207"
"1985-08-31","1985Aug","8.663757"
"1985-09-30","1985Sep","8.673493"
"1985-10-31","1985Oct","8.716040"
"1985-11-30","1985Nov","8.705256"
"1985-12-31","1985Dec","8.669623"
"1986-01-31","1986Jan","8.618370"
"1986-02-28","1986Feb","8.592846"
"1986-03-31","1986Mar","8.602242"
"1986-04-30","1986Apr","8.719645"
"1986-05-31","1986May","8.760364"
"1986-06-30","1986Jun","8.797653"
"1986-07-31","1986Jul","8.896625"
"1986-08-31","1986Aug","8.943472"
"1986-09-30","1986Sep","9.003195"
"1986-10-31","1986Oct","9.177360"
"1986-11-30","1986Nov","9.224125"
"1986-12-31","1986Dec","9.237696"
"1987-01-31","1987Jan","9.296533"
"1987-02-28","1987Feb","9.270948"
"1987-03-31","1987Mar","9.235532"
"1987-04-30","1987Apr","9.220791"
"1987-05-31","1987May","9.175486"
"1987-06-30","1987Jun","9.130575"
"1987-07-31","1987Jul","9.127746"
"1987-08-31","1987Aug","9.090808"
"1987-09-30","1987Sep","9.062257"
"1987-10-31","1987Oct","9.111655"
"1987-11-30","1987Nov","9.068031"
"1987-12-31","1987Dec","9.002603"
"1988-01-31","1988Jan","8.980001"
"1988-02-29","1988Feb","8.905837"
"1988-03-31","1988Mar","8.845492"
"1988-04-30","1988Apr","8.893677"
"1988-05-31","1988May","8.843631"
"1988-06-30","1988Jun","8.791214"
"1988-07-31","1988Jul","8.843362"
"1988-08-31","1988Aug","8.797692"
"1988-09-30","1988Sep","8.762468"
"1988-10-31","1988Oct","8.852478"
"1988-11-30","1988Nov","8.814245"
"1988-12-31","1988Dec","8.763941"
"1989-01-31","1989Jan","8.766077"
"1989-02-28","1989Feb","8.719832"
"1989-03-31","1989Mar","8.690206"
"1989-04-30","1989Apr","8.707974"
"1989-05-31","1989May","8.694593"
"1989-06-30","1989Jun","8.680947"
"1989-07-31","1989Jul","8.671796"
"1989-08-31","1989Aug","8.662996"
"1989-09-30","1989Sep","8.659318"
"1989-10-31","1989Oct","8.666918"
"1989-11-30","1989Nov","8.654088"
"1989-12-31","1989Dec","8.627017"
"1990-01-31","1990Jan","8.577332"
"1990-02-28","1990Feb","8.537145"
"1990-03-31","1990Mar","8.498078"
"1990-04-30","1990Apr","8.475987"
"1990-05-31","1990May","8.435319"
"1990-06-30","1990Jun","8.392315"
"1990-07-31","1990Jul","8.376636"
"1990-08-31","1990Aug","8.337400"
"1990-09-30","1990Sep","8.305113"
"1990-10-31","1990Oct","8.327974"
"1990-11-30","1990Nov","8.302422"
"1990-12-31","1990Dec","8.277843"
"1991-01-31","1991Jan","8.294373"
"1991-02-28","1991Feb","8.292945"
"1991-03-31","1991Mar","8.314214"
"1991-04-30","1991Apr","8.405093"
"1991-05-31","1991May","8.456915"
"1991-06-30","1991Jun","8.516891"
"1991-07-31","1991Jul","8.627041"
"1991-08-31","1991Aug","8.702259"
"1991-09-30","1991Sep","8.784612"
"1991-10-31","1991Oct","8.913297"
"1991-11-30","1991Nov","8.994979"
"1991-12-31","1991Dec","9.068874"
"1992-01-31","1992Jan","9.131986"
"1992-02-29","1992Feb","9.197688"
"1992-03-31","1992Mar","9.262996"
"1992-04-30","1992Apr","9.289098"
"1992-05-31","1992May","9.352566"
"1992-06-30","1992Jun","9.414939"
"1992-07-31","1992Jul","9.435135"
"1992-08-31","1992Aug","9.500795"
"1992-09-30","1992Sep","9.571193"
"1992-10-31","1992Oct","9.623299"
"1992-11-30","1992Nov","9.693174"
"1992-12-31","1992Dec","9.758189"
"1993-01-31","1993Jan","9.798860"
"1993-02-28","1993Feb","9.868127"
"1993-03-31","1993Mar","9.946824"
"1993-04-30","1993Apr","10.060542"
"1993-05-31","1993May","10.145066"
"1993-06-30","1993Jun","10.226431"
"1993-07-31","1993Jul","10.331013"
"1993-08-31","1993Aug","10.408315"
"1993-09-30","1993Sep","10.485188"
"1993-10-31","1993Oct","10.605320"
"1993-11-30","1993Nov","10.670530"
"1993-12-31","1993Dec","10.724873"
"1994-01-31","1994Jan","10.794742"
"1994-02-28","1994Feb","10.813386"
"1994-03-31","1994Mar","10.807263"
"1994-04-30","1994Apr","10.794335"
"1994-05-31","1994May","10.756634"
"1994-06-30","1994Jun","10.712157"
"1994-07-31","1994Jul","10.656949"
"1994-08-31","1994Aug","10.606725"
"1994-09-30","1994Sep","10.557636"
"1994-10-31","1994Oct","10.521882"
"1994-11-30","1994Nov","10.469411"
"1994-12-31","1994Dec","10.412596"
"1995-01-31","1995Jan","10.368917"
"1995-02-28","1995Feb","10.335261"
"1995-03-31","1995Mar","10.329142"
"1995-04-30","1995Apr","10.432074"
"1995-05-31","1995May","10.448016"
"1995-06-30","1995Jun","10.459083"
"1995-07-31","1995Jul","10.546384"
"1995-08-31","1995Aug","10.565402"
"1995-09-30","1995Sep","10.598158"
"1995-10-31","1995Oct","10.735129"
"1995-11-30","1995Nov","10.740705"
"1995-12-31","1995Dec","10.706181"
"1996-01-31","1996Jan","10.666520"
"1996-02-29","1996Feb","10.655865"
"1996-03-31","1996Mar","10.710763"
"1996-04-30","1996Apr","10.864186"
"1996-05-31","1996May","10.931324"
"1996-06-30","1996Jun","10.945532"
"1996-07-31","1996Jul","10.908944"
"1996-08-31","1996Aug","10.879864"
"1996-09-30","1996Sep","10.860403"
"1996-10-31","1996Oct","10.835213"
"1996-11-30","1996Nov","10.839984"
"1996-12-31","1996Dec","10.859513"
"1997-01-31","1997Jan","10.906194"
"1997-02-28","1997Feb","10.920135"
"1997-03-31","1997Mar","10.913861"
"1997-04-30","1997Apr","10.958422"
"1997-05-31","1997May","10.928763"
"1997-06-30","1997Jun","10.896810"
"1997-07-31","1997Jul","10.929163"
"1997-08-31","1997Aug","10.894663"
"1997-09-30","1997Sep","10.860469"
"1997-10-31","1997Oct","10.877285"
"1997-11-30","1997Nov","10.829234"
"1997-12-31","1997Dec","10.767172"
"1998-01-31","1998Jan","10.797485"
"1998-02-28","1998Feb","10.732766"
"1998-03-31","1998Mar","10.680637"
"1998-04-30","1998Apr","10.731926"
"1998-05-31","1998May","10.692534"
"1998-06-30","1998Jun","10.654008"
"1998-07-31","1998Jul","10.668281"
"1998-08-31","1998Aug","10.643793"
"1998-09-30","1998Sep","10.632782"
"1998-10-31","1998Oct","10.675406"
"1998-11-30","1998Nov","10.686594"
"1998-12-31","1998Dec","10.706702"
"1999-01-31","1999Jan","10.738053"
"1999-02-28","1999Feb","10.751198"
"1999-03-31","1999Mar","10.748493"
"1999-04-30","1999Apr","10.757368"
"1999-05-31","1999May","10.701825"
"1999-06-30","1999Jun","10.609456"
"1999-07-31","1999Jul","10.518205"
"1999-08-31","1999Aug","10.382733"
"1999-09-30","1999Sep","10.241381"
"1999-10-31","1999Oct","10.148736"
"1999-11-30","1999Nov","9.996552"
"1999-12-31","1999Dec","9.840196"
"2000-01-31","2000Jan","9.762011"
"2000-02-29","2000Feb","9.609630"
"2000-03-31","2000Mar","9.466991"
"2000-04-30","2000Apr","9.387450"
"2000-05-31","2000May","9.265353"
"2000-06-30","2000Jun","9.154820"
"2000-07-31","2000Jul","9.072646"
"2000-08-31","2000Aug","8.978878"
"2000-09-30","2000Sep","8.890582"
"2000-10-31","2000Oct","8.837669"
"2000-11-30","2000Nov","8.762303"
"2000-12-31","2000Dec","8.694820"
"2001-01-31","2001Jan","8.641830"
"2001-02-28","2001Feb","8.589628"
"2001-03-31","2001Mar","8.545217"
"2001-04-30","2001Apr","8.491801"
"2001-05-31","2001May","8.466830"
"2001-06-30","2001Jun","8.453499"
"2001-07-31","2001Jul","8.386965"
"2001-08-31","2001Aug","8.393212"
"2001-09-30","2001Sep","8.407471"
"2001-10-31","2001Oct","8.356800"
"2001-11-30","2001Nov","8.360806"
"2001-12-31","2001Dec","8.346952"
"2002-01-31","2002Jan","8.215746"
"2002-02-28","2002Feb","8.198662"
"2002-03-31","2002Mar","8.196265"
"2002-04-30","2002Apr","8.172658"
"2002-05-31","2002May","8.193312"
"2002-06-30","2002Jun","8.222438"
"2002-07-31","2002Jul","8.287651"
"2002-08-31","2002Aug","8.316993"
"2002-09-30","2002Sep","8.338173"
"2002-10-31","2002Oct","8.306142"
"2002-11-30","2002Nov","8.386135"
"2002-12-31","2002Dec","8.532557"
"2003-01-31","2003Jan","8.168946"
"2003-02-28","2003Feb","8.281091"
"2003-03-31","2003Mar","8.394481"
"2003-04-30","2003Apr","8.506864"
"2003-05-31","2003May","8.492348"
"2003-06-30","2003Jun","8.525220"
"2003-07-31","2003Jul","8.459168"
"2003-08-31","2003Aug","8.333715"
"2003-09-30","2003Sep","8.552718"
"2003-10-31","2003Oct","8.690495"
"2003-11-30","2003Nov","8.781535"
"2003-12-31","2003Dec","8.962664"
"2004-01-31","2004Jan","8.936984"
"2004-02-29","2004Feb","8.935876"
"2004-03-31","2004Mar","8.878599"
"2004-04-30","2004Apr","8.769895"
"2004-05-31","2004May","8.750390"
"2004-06-30","2004Jun","8.762746"
