"DATE","TIME PERIOD","(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T)"
"2003-01-31","2003Jan","8.742543"
"2003-02-28","2003Feb","8.717502"
"2003-03-31","2003Mar","8.612807"
"2003-04-30","2003Apr","8.530143"
"2003-05-31","2003May","8.276990"
"2003-06-30","2003Jun","7.955947"
"2003-07-31","2003Jul","7.730543"
"2003-08-31","2003Aug","7.877582"
"2003-09-30","2003Sep","8.250008"
"2003-10-31","2003Oct","8.881065"
"2003-11-30","2003Nov","9.234453"
"2003-12-31","2003Dec","9.374564"
"2004-01-31","2004Jan","9.512059"
"2004-02-29","2004Feb","9.357358"
"2004-03-31","2004Mar","9.070516"
"2004-04-30","2004Apr","8.762685"
"2004-05-31","2004May","8.519239"
"2004-06-30","2004Jun","8.183570"
"2004-07-31","2004Jul","8.089992"
"2004-08-31","2004Aug","8.479894"
"2004-09-30","2004Sep","8.654561"
"2004-10-31","2004Oct","9.157071"
"2004-11-30","2004Nov","9.451680"
"2004-12-31","2004Dec","9.273349"
"2005-01-31","2005Jan","9.231206"
"2005-02-28","2005Feb","8.963404"
"2005-03-31","2005Mar","8.753377"
"2005-04-30","2005Apr","8.667384"
"2005-05-31","2005May","8.591285"
"2005-06-30","2005Jun","8.297508"
"2005-07-31","2005Jul","8.236449"
"2005-08-31","2005Aug","8.666562"
"2005-09-30","2005Sep","8.804355"
"2005-10-31","2005Oct","9.285741"
"2005-11-30","2005Nov","9.546612"
"2005-12-31","2005Dec","9.470101"
"2006-01-31","2006Jan","9.718058"
"2006-02-28","2006Feb","9.565171"
"2006-03-31","2006Mar","9.279014"
"2006-04-30","2006Apr","8.991859"
"2006-05-31","2006May","8.709644"
"2006-06-30","2006Jun","8.377687"
"2006-07-31","2006Jul","8.326794"
"2006-08-31","2006Aug","8.695481"
"2006-09-30","2006Sep","8.525007"
"2006-10-31","2006Oct","8.693047"
"2006-11-30","2006Nov","8.720438"
"2006-12-31","2006Dec","8.634829"
"2007-01-31","2007Jan","9.023843"
"2007-02-28","2007Feb","8.909952"
"2007-03-31","2007Mar","8.582603"
"2007-04-30","2007Apr","8.235528"
"2007-05-31","2007May","7.933095"
"2007-06-30","2007Jun","7.501358"
"2007-07-31","2007Jul","7.417108"
"2007-08-31","2007Aug","7.690824"
"2007-09-30","2007Sep","7.620318"
"2007-10-31","2007Oct","7.855979"
"2007-11-30","2007Nov","7.853155"
"2007-12-31","2007Dec","7.598064"
"2008-01-31","2008Jan","7.704289"
"2008-02-29","2008Feb","7.453606"
"2008-03-31","2008Mar","7.316475"
"2008-04-30","2008Apr","7.275523"
"2008-05-31","2008May","7.141002"
"2008-06-30","2008Jun","6.895883"
"2008-07-31","2008Jul","6.795731"
"2008-08-31","2008Aug","7.153818"
"2008-09-30","2008Sep","7.256767"
"2008-10-31","2008Oct","7.735895"
"2008-11-30","2008Nov","8.138582"
"2008-12-31","2008Dec","8.258653"
"2009-01-31","2009Jan","8.792559"
"2009-02-28","2009Feb","8.999303"
"2009-03-31","2009Mar","9.080876"
"2009-04-30","2009Apr","9.140396"
"2009-05-31","2009May","9.069880"
"2009-06-30","2009Jun","8.602314"
"2009-07-31","2009Jul","8.382830"
"2009-08-31","2009Aug","8.826065"
"2009-09-30","2009Sep","8.998520"
"2009-10-31","2009Oct","9.713603"
"2009-11-30","2009Nov","10.034310"
"2009-12-31","2009Dec","9.827456"
"2010-01-31","2010Jan","10.041138"
"2010-02-28","2010Feb","9.813205"
"2010-03-31","2010Mar","9.493040"
"2010-04-30","2010Apr","9.297027"
"2010-05-31","2010May","9.124025"
"2010-06-30","2010Jun","8.663335"
"2010-07-31","2010Jul","8.441912"
