"DATE","TIME PERIOD","(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T)"
"2007-01-31","2007Jan","9.319585"
"2007-02-28","2007Feb","9.617769"
"2007-03-31","2007Mar","9.164129"
"2007-04-30","2007Apr","8.621964"
"2007-05-31","2007May","8.498946"
"2007-06-30","2007Jun","8.330250"
"2007-07-31","2007Jul","8.343370"
"2007-08-31","2007Aug","8.420101"
"2007-09-30","2007Sep","8.133055"
"2007-10-31","2007Oct","7.773864"
"2007-11-30","2007Nov","8.190342"
"2007-12-31","2007Dec","8.218041"
"2008-01-31","2008Jan","8.194109"
"2008-02-29","2008Feb","8.105794"
"2008-03-31","2008Mar","8.040696"
"2008-04-30","2008Apr","7.935111"
"2008-05-31","2008May","7.287964"
"2008-06-30","2008Jun","7.828093"
"2008-07-31","2008Jul","7.389371"
"2008-08-31","2008Aug","7.177903"
"2008-09-30","2008Sep","6.554822"
"2008-10-31","2008Oct","6.389167"
"2008-11-30","2008Nov","6.806381"
"2008-12-31","2008Dec","7.414750"
"2009-01-31","2009Jan","7.154939"
"2009-02-28","2009Feb","7.809497"
"2009-03-31","2009Mar","7.550978"
"2009-04-30","2009Apr","7.439003"
"2009-05-31","2009May","7.151595"
"2009-06-30","2009Jun","7.208048"
"2009-07-31","2009Jul","7.415009"
"2009-08-31","2009Aug","7.477022"
"2009-09-30","2009Sep","7.081097"
"2009-10-31","2009Oct","6.659844"
"2009-11-30","2009Nov","6.749834"
"2009-12-31","2009Dec","6.890517"
"2010-01-31","2010Jan","7.555080"
"2010-02-28","2010Feb","7.608633"
"2010-03-31","2010Mar","7.175241"
"2010-04-30","2010Apr","6.776040"
"2010-05-31","2010May","6.506896"
"2010-06-30","2010Jun","6.288855"
"2010-07-31","2010Jul","6.472019"
"2010-08-31","2010Aug","6.172551"
"2010-09-30","2010Sep","6.100630"
"2010-10-31","2010Oct","6.118593"
"2010-11-30","2010Nov","5.923566"
"2010-12-31","2010Dec","6.106155"
"2011-01-31","2011Jan","6.426479"
"2011-02-28","2011Feb","6.188650"
"2011-03-31","2011Mar","6.071703"
"2011-04-30","2011Apr","5.476877"
"2011-05-31","2011May","5.344471"
"2011-06-30","2011Jun","5.585157"
"2011-07-31","2011Jul","5.636368"
"2011-08-31","2011Aug","5.577592"
"2011-09-30","2011Sep","4.908017"
"2011-10-31","2011Oct","4.801783"
"2011-11-30","2011Nov","5.115686"
"2011-12-31","2011Dec","5.071633"
"2012-01-31","2012Jan","5.878582"
"2012-02-29","2012Feb","5.518174"
"2012-03-31","2012Mar","5.085094"
"2012-04-30","2012Apr","4.924992"
"2012-05-31","2012May","5.180306"
"2012-06-30","2012Jun","4.924165"
"2012-07-31","2012Jul","5.318274"
"2012-08-31","2012Aug","4.997287"
"2012-09-30","2012Sep","4.723794"
"2012-10-31","2012Oct","4.818810"
"2012-11-30","2012Nov","4.831080"
"2012-12-31","2012Dec","4.887422"
"2013-01-31","2013Jan","5.470541"
"2013-02-28","2013Feb","5.585711"
"2013-03-31","2013Mar","5.194592"
"2013-04-30","2013Apr","4.903812"
"2013-05-31","2013May","4.838787"
"2013-06-30","2013Jun","4.971946"
"2013-07-31","2013Jul","4.943912"
"2013-08-31","2013Aug","4.694395"
"2013-09-30","2013Sep","4.745948"
"2013-10-31","2013Oct","4.766942"
"2013-11-30","2013Nov","4.651508"
"2013-12-31","2013Dec","4.622322"
"2014-01-31","2014Jan","5.223109"
"2014-02-28","2014Feb","5.102749"
"2014-03-31","2014Mar","5.079297"
"2014-04-30","2014Apr","4.838520"
"2014-05-31","2014May","4.510842"
"2014-06-30","2014Jun","4.556547"
"2014-07-31","2014Jul","4.422394"
"2014-08-31","2014Aug","4.706268"
"2014-09-30","2014Sep","4.596597"
"2014-10-31","2014Oct","4.544675"
"2014-11-30","2014Nov","4.701579"
"2014-12-31","2014Dec","4.265004"
"2015-01-31","2015Jan","4.636325"
"2015-02-28","2015Feb","4.979043"
"2015-03-31","2015Mar","4.558927"
"2015-04-30","2015Apr","4.583921"
"2015-05-31","2015May","4.271845"
"2015-06-30","2015Jun","4.347602"
"2015-07-31","2015Jul","4.322144"
"2015-08-31","2015Aug","4.115859"
"2015-09-30","2015Sep","4.045101"
"2015-10-31","2015Oct","4.135745"
"2015-11-30","2015Nov","4.269685"
"2015-12-31","2015Dec","4.215438"
"2016-01-31","2016Jan","4.124897"
"2016-02-29","2016Feb","4.409806"
"2016-03-31","2016Mar","4.298734"
"2016-04-30","2016Apr","3.975653"
"2016-05-31","2016May","3.974492"
"2016-06-30","2016Jun","3.982960"
"2016-07-31","2016Jul","4.008871"
"2016-08-31","2016Aug","3.879378"
"2016-09-30","2016Sep","3.534448"
"2016-10-31","2016Oct","3.729864"
"2016-11-30","2016Nov","3.658355"
"2016-12-31","2016Dec","3.305223"
"2017-01-31","2017Jan","3.808225"
"2017-02-28","2017Feb","4.066515"
"2017-03-31","2017Mar","3.762205"
"2017-04-30","2017Apr","3.919458"
"2017-05-31","2017May","3.423400"
"2017-06-30","2017Jun","3.416047"
"2017-07-31","2017Jul","3.444729"
"2017-08-31","2017Aug","3.550526"
"2017-09-30","2017Sep","3.364895"
"2017-10-31","2017Oct","3.483514"
"2017-11-30","2017Nov","3.174220"
"2017-12-31","2017Dec","3.261351"
"2018-01-31","2018Jan","3.382829"
"2018-02-28","2018Feb","3.575090"
"2018-03-31","2018Mar","3.325783"
"2018-04-30","2018Apr","3.343611"
"2018-05-31","2018May","3.229670"
"2018-06-30","2018Jun","3.283462"
"2018-07-31","2018Jul","3.151392"
"2018-08-31","2018Aug","3.204859"
"2018-09-30","2018Sep","3.096710"
"2018-10-31","2018Oct","3.038584"
"2018-11-30","2018Nov","3.026397"
"2018-12-31","2018Dec","2.896772"
"2019-01-31","2019Jan","3.214840"
"2019-02-28","2019Feb","2.993884"
"2019-03-31","2019Mar","3.286331"
"2019-04-30","2019Apr","3.003522"
"2019-05-31","2019May","2.854523"
"2019-06-30","2019Jun","2.882391"
"2019-07-31","2019Jul","2.934370"
"2019-08-31","2019Aug","3.034365"
"2019-09-30","2019Sep","2.885342"
"2019-10-31","2019Oct","2.839234"
"2019-11-30","2019Nov","2.904444"
"2019-12-31","2019Dec","2.941952"
"2020-01-31","2020Jan","3.143064"
"2020-02-29","2020Feb","3.512133"
"2020-03-31","2020Mar","3.653673"
"2020-04-30","2020Apr","3.643566"
"2020-05-31","2020May","3.565001"
"2020-06-30","2020Jun","3.797734"
"2020-07-31","2020Jul","3.988774"
"2020-08-31","2020Aug","3.908390"
"2020-09-30","2020Sep","3.765509"
"2020-10-31","2020Oct","3.485448"
"2020-11-30","2020Nov","3.549282"
"2020-12-31","2020Dec","3.523857"
"2021-01-31","2021Jan","4.146514"
"2021-02-28","2021Feb","4.239760"
"2021-03-31","2021Mar","4.007232"
"2021-04-30","2021Apr","3.917146"
"2021-05-31","2021May","3.708486"
"2021-06-30","2021Jun","3.561203"
"2021-07-31","2021Jul","3.385321"
"2021-08-31","2021Aug","3.352265"
"2021-09-30","2021Sep","3.340774"
"2021-10-31","2021Oct","3.122121"
"2021-11-30","2021Nov","3.195437"
"2021-12-31","2021Dec","3.046043"
"2022-01-31","2022Jan","3.311967"
"2022-02-28","2022Feb","3.232971"
"2022-03-31","2022Mar","2.979207"
"2022-04-30","2022Apr","3.176825"
"2022-05-31","2022May","2.945984"
"2022-06-30","2022Jun","2.880143"
"2022-07-31","2022Jul","3.360515"
"2022-08-31","2022Aug","3.082922"
"2022-09-30","2022Sep","2.927006"
"2022-10-31","2022Oct","3.010899"
"2022-11-30","2022Nov","2.988275"
"2022-12-31","2022Dec","2.931201"
"2023-01-31","2023Jan","3.053118"
"2023-02-28","2023Feb","3.047626"
"2023-03-31","2023Mar","2.934999"
"2023-04-30","2023Apr","3.053571"
"2023-05-31","2023May","2.823250"
"2023-06-30","2023Jun","3.013520"
"2023-07-31","2023Jul","3.025431"
"2023-08-31","2023Aug","3.233389"
"2023-09-30","2023Sep","3.024840"
