"DATE","TIME PERIOD","(LFSI.M.SK.S.UNEHRT.TOTAL0.15_74.T)"
"1998-01-31","1998Jan","12.066517"
"1998-02-28","1998Feb","12.171538"
"1998-03-31","1998Mar","12.193305"
"1998-04-30","1998Apr","12.248710"
"1998-05-31","1998May","12.306862"
"1998-06-30","1998Jun","12.542882"
"1998-07-31","1998Jul","12.887268"
"1998-08-31","1998Aug","13.046380"
"1998-09-30","1998Sep","13.213901"
"1998-10-31","1998Oct","13.163988"
"1998-11-30","1998Nov","13.271475"
"1998-12-31","1998Dec","13.643604"
"1999-01-31","1999Jan","14.245498"
"1999-02-28","1999Feb","14.802360"
"1999-03-31","1999Mar","15.355513"
"1999-04-30","1999Apr","15.696195"
"1999-05-31","1999May","16.057701"
"1999-06-30","1999Jun","16.519135"
"1999-07-31","1999Jul","16.749987"
"1999-08-31","1999Aug","17.061145"
"1999-09-30","1999Sep","17.311664"
"1999-10-31","1999Oct","17.714707"
"1999-11-30","1999Nov","18.107021"
"1999-12-31","1999Dec","18.293925"
"2000-01-31","2000Jan","18.264483"
"2000-02-29","2000Feb","18.488105"
"2000-03-31","2000Mar","18.704116"
"2000-04-30","2000Apr","18.902190"
"2000-05-31","2000May","19.228122"
"2000-06-30","2000Jun","19.412804"
"2000-07-31","2000Jul","19.682235"
"2000-08-31","2000Aug","18.624526"
"2000-09-30","2000Sep","18.617389"
"2000-10-31","2000Oct","18.760784"
"2000-11-30","2000Nov","18.981713"
"2000-12-31","2000Dec","19.094861"
"2001-01-31","2001Jan","19.404758"
"2001-02-28","2001Feb","19.311025"
"2001-03-31","2001Mar","19.371682"
"2001-04-30","2001Apr","19.564082"
"2001-05-31","2001May","19.489306"
"2001-06-30","2001Jun","19.496297"
"2001-07-31","2001Jul","19.422494"
"2001-08-31","2001Aug","19.482684"
"2001-09-30","2001Sep","19.496452"
"2001-10-31","2001Oct","19.599075"
"2001-11-30","2001Nov","19.499899"
"2001-12-31","2001Dec","19.275473"
"2002-01-31","2002Jan","19.145161"
"2002-02-28","2002Feb","19.039752"
"2002-03-31","2002Mar","18.911284"
"2002-04-30","2002Apr","18.884401"
"2002-05-31","2002May","18.966039"
"2002-06-30","2002Jun","18.850290"
"2002-07-31","2002Jul","18.818084"
