"DATE","TIME PERIOD","(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T)"
"1998-01-31","1998Jan","12.757088"
"1998-02-28","1998Feb","12.929827"
"1998-03-31","1998Mar","12.725701"
"1998-04-30","1998Apr","12.296811"
"1998-05-31","1998May","12.015744"
"1998-06-30","1998Jun","12.538197"
"1998-07-31","1998Jul","13.150312"
"1998-08-31","1998Aug","13.019148"
"1998-09-30","1998Sep","12.779541"
"1998-10-31","1998Oct","12.291883"
"1998-11-30","1998Nov","12.537447"
"1998-12-31","1998Dec","13.450448"
"1999-01-31","1999Jan","14.955501"
"1999-02-28","1999Feb","15.617295"
"1999-03-31","1999Mar","15.991442"
"1999-04-30","1999Apr","15.776126"
"1999-05-31","1999May","15.808051"
"1999-06-30","1999Jun","16.642363"
"1999-07-31","1999Jul","17.111127"
"1999-08-31","1999Aug","17.066681"
"1999-09-30","1999Sep","16.750666"
"1999-10-31","1999Oct","16.685984"
"1999-11-30","1999Nov","17.269461"
"1999-12-31","1999Dec","18.096578"
"2000-01-31","2000Jan","19.016277"
"2000-02-29","2000Feb","19.312943"
"2000-03-31","2000Mar","19.353434"
"2000-04-30","2000Apr","19.014681"
"2000-05-31","2000May","19.040033"
"2000-06-30","2000Jun","19.554334"
"2000-07-31","2000Jul","19.988974"
"2000-08-31","2000Aug","18.512957"
"2000-09-30","2000Sep","17.973577"
"2000-10-31","2000Oct","17.758429"
"2000-11-30","2000Nov","18.251987"
"2000-12-31","2000Dec","18.961801"
"2001-01-31","2001Jan","20.208500"
"2001-02-28","2001Feb","20.055604"
"2001-03-31","2001Mar","19.932640"
"2001-04-30","2001Apr","19.684512"
"2001-05-31","2001May","19.325115"
"2001-06-30","2001Jun","19.593591"
"2001-07-31","2001Jul","19.635240"
"2001-08-31","2001Aug","19.331592"
"2001-09-30","2001Sep","18.878851"
"2001-10-31","2001Oct","18.699151"
"2001-11-30","2001Nov","18.885432"
"2001-12-31","2001Dec","19.255421"
"2002-01-31","2002Jan","19.883551"
"2002-02-28","2002Feb","19.694824"
"2002-03-31","2002Mar","19.382224"
"2002-04-30","2002Apr","18.919993"
"2002-05-31","2002May","18.808140"
"2002-06-30","2002Jun","18.867884"
"2002-07-31","2002Jul","18.896311"
"2002-08-31","2002Aug","18.530155"
"2002-09-30","2002Sep","18.115889"
"2002-10-31","2002Oct","17.895396"
"2002-11-30","2002Nov","18.122342"
"2002-12-31","2002Dec","18.645623"
"2003-01-31","2003Jan","18.972900"
"2003-02-28","2003Feb","18.699117"
"2003-03-31","2003Mar","18.292216"
"2003-04-30","2003Apr","17.481470"
"2003-05-31","2003May","17.094106"
"2003-06-30","2003Jun","17.190327"
"2003-07-31","2003Jul","17.349172"
"2003-08-31","2003Aug","17.269476"
"2003-09-30","2003Sep","17.033892"
"2003-10-31","2003Oct","16.916183"
"2003-11-30","2003Nov","17.381243"
"2003-12-31","2003Dec","18.597990"
"2004-01-31","2004Jan","19.466753"
"2004-02-29","2004Feb","19.714594"
"2004-03-31","2004Mar","19.597705"
"2004-04-30","2004Apr","19.221046"
"2004-05-31","2004May","18.656841"
"2004-06-30","2004Jun","18.324903"
"2004-07-31","2004Jul","17.974453"
"2004-08-31","2004Aug","17.529144"
"2004-09-30","2004Sep","17.599133"
"2004-10-31","2004Oct","17.224959"
"2004-11-30","2004Nov","17.256017"
"2004-12-31","2004Dec","17.723954"
"2005-01-31","2005Jan","17.970339"
"2005-02-28","2005Feb","17.727318"
"2005-03-31","2005Mar","17.513846"
"2005-04-30","2005Apr","16.803834"
"2005-05-31","2005May","16.374663"
"2005-06-30","2005Jun","16.157671"
"2005-07-31","2005Jul","15.893784"
"2005-08-31","2005Aug","15.610615"
"2005-09-30","2005Sep","16.014224"
"2005-10-31","2005Oct","15.569934"
"2005-11-30","2005Nov","15.349689"
"2005-12-31","2005Dec","15.534647"
"2006-01-31","2006Jan","15.538950"
"2006-02-28","2006Feb","15.089673"
"2006-03-31","2006Mar","14.619597"
"2006-04-30","2006Apr","14.015619"
"2006-05-31","2006May","13.510866"
"2006-06-30","2006Jun","13.347684"
"2006-07-31","2006Jul","13.221623"
"2006-08-31","2006Aug","12.870888"
"2006-09-30","2006Sep","12.904013"
"2006-10-31","2006Oct","12.378396"
"2006-11-30","2006Nov","12.104082"
"2006-12-31","2006Dec","12.073781"
"2007-01-31","2007Jan","12.027371"
"2007-02-28","2007Feb","11.727578"
"2007-03-31","2007Mar","11.459096"
"2007-04-30","2007Apr","11.250139"
"2007-05-31","2007May","11.208331"
"2007-06-30","2007Jun","11.360241"
"2007-07-31","2007Jul","11.509852"
"2007-08-31","2007Aug","11.325845"
"2007-09-30","2007Sep","11.366887"
"2007-10-31","2007Oct","10.694806"
"2007-11-30","2007Nov","10.353754"
"2007-12-31","2007Dec","10.449260"
"2008-01-31","2008Jan","10.640952"
"2008-02-29","2008Feb","10.567993"
"2008-03-31","2008Mar","10.441685"
"2008-04-30","2008Apr","10.315486"
"2008-05-31","2008May","10.167381"
"2008-06-30","2008Jun","9.846770"
"2008-07-31","2008Jul","9.320281"
"2008-08-31","2008Aug","8.768249"
"2008-09-30","2008Sep","8.815545"
"2008-10-31","2008Oct","8.510073"
"2008-11-30","2008Nov","8.589518"
"2008-12-31","2008Dec","9.021155"
"2009-01-31","2009Jan","9.906012"
"2009-02-28","2009Feb","10.478050"
"2009-03-31","2009Mar","10.984794"
"2009-04-30","2009Apr","11.070667"
"2009-05-31","2009May","11.261471"
"2009-06-30","2009Jun","11.667441"
"2009-07-31","2009Jul","12.138454"
"2009-08-31","2009Aug","12.374147"
"2009-09-30","2009Sep","13.320632"
"2009-10-31","2009Oct","13.537019"
"2009-11-30","2009Nov","13.891876"
"2009-12-31","2009Dec","14.340861"
"2010-01-31","2010Jan","15.157303"
"2010-02-28","2010Feb","15.274046"
"2010-03-31","2010Mar","15.113008"
"2010-04-30","2010Apr","14.638811"
"2010-05-31","2010May","14.290046"
"2010-06-30","2010Jun","14.291534"
"2010-07-31","2010Jul","14.199706"
"2010-08-31","2010Aug","13.969847"
"2010-09-30","2010Sep","14.323978"
"2010-10-31","2010Oct","14.049493"
"2010-11-30","2010Nov","13.863488"
"2010-12-31","2010Dec","13.914863"
"2011-01-31","2011Jan","14.080847"
"2011-02-28","2011Feb","14.052405"
"2011-03-31","2011Mar","13.814613"
"2011-04-30","2011Apr","13.413963"
"2011-05-31","2011May","13.140581"
"2011-06-30","2011Jun","13.110583"
"2011-07-31","2011Jul","13.096554"
"2011-08-31","2011Aug","13.062623"
"2011-09-30","2011Sep","13.585587"
"2011-10-31","2011Oct","13.839131"
"2011-11-30","2011Nov","14.009737"
"2011-12-31","2011Dec","14.121161"
"2012-01-31","2012Jan","14.107055"
"2012-02-29","2012Feb","14.029793"
"2012-03-31","2012Mar","13.880853"
"2012-04-30","2012Apr","13.662929"
"2012-05-31","2012May","13.453730"
"2012-06-30","2012Jun","13.549941"
