"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.25_74.M)"
"1997-01-31","1997Jan","9.030712"
"1997-02-28","1997Feb","9.142705"
"1997-03-31","1997Mar","8.953805"
"1997-04-30","1997Apr","8.417879"
"1997-05-31","1997May","7.819725"
"1997-06-30","1997Jun","7.436429"
"1997-07-31","1997Jul","7.148489"
"1997-08-31","1997Aug","6.837719"
"1997-09-30","1997Sep","6.555872"
"1997-10-31","1997Oct","6.352670"
"1997-11-30","1997Nov","6.435025"
"1997-12-31","1997Dec","6.772981"
"1998-01-31","1998Jan","7.243917"
"1998-02-28","1998Feb","7.613314"
"1998-03-31","1998Mar","7.627530"
"1998-04-30","1998Apr","7.321737"
"1998-05-31","1998May","6.887598"
"1998-06-30","1998Jun","6.627328"
"1998-07-31","1998Jul","6.534962"
"1998-08-31","1998Aug","6.428801"
"1998-09-30","1998Sep","6.379302"
"1998-10-31","1998Oct","6.496191"
"1998-11-30","1998Nov","6.813012"
"1998-12-31","1998Dec","7.360094"
"1999-01-31","1999Jan","8.321052"
"1999-02-28","1999Feb","9.302847"
"1999-03-31","1999Mar","9.776005"
"1999-04-30","1999Apr","9.771662"
"1999-05-31","1999May","9.545670"
"1999-06-30","1999Jun","9.383699"
"1999-07-31","1999Jul","9.366888"
"1999-08-31","1999Aug","9.400171"
"1999-09-30","1999Sep","9.433690"
"1999-10-31","1999Oct","9.513142"
"1999-11-30","1999Nov","9.871990"
"1999-12-31","1999Dec","10.532432"
"2000-01-31","2000Jan","11.585944"
"2000-02-29","2000Feb","12.412383"
"2000-03-31","2000Mar","12.690690"
"2000-04-30","2000Apr","12.309971"
"2000-05-31","2000May","11.856660"
"2000-06-30","2000Jun","11.415092"
"2000-07-31","2000Jul","11.127436"
"2000-08-31","2000Aug","10.845158"
"2000-09-30","2000Sep","10.788488"
"2000-10-31","2000Oct","10.875372"
"2000-11-30","2000Nov","11.356380"
"2000-12-31","2000Dec","12.086018"
"2001-01-31","2001Jan","13.175323"
"2001-02-28","2001Feb","13.674437"
"2001-03-31","2001Mar","13.972980"
"2001-04-30","2001Apr","13.917954"
"2001-05-31","2001May","13.667491"
"2001-06-30","2001Jun","13.420010"
"2001-07-31","2001Jul","13.056327"
"2001-08-31","2001Aug","12.837282"
"2001-09-30","2001Sep","12.847456"
"2001-10-31","2001Oct","13.067076"
"2001-11-30","2001Nov","13.707878"
"2001-12-31","2001Dec","14.527025"
"2002-01-31","2002Jan","15.690073"
"2002-02-28","2002Feb","16.182764"
"2002-03-31","2002Mar","16.387957"
"2002-04-30","2002Apr","16.279067"
"2002-05-31","2002May","15.868108"
"2002-06-30","2002Jun","15.735503"
"2002-07-31","2002Jul","15.386728"
"2002-08-31","2002Aug","15.115892"
"2002-09-30","2002Sep","15.020753"
"2002-10-31","2002Oct","14.997497"
"2002-11-30","2002Nov","15.317178"
"2002-12-31","2002Dec","15.813443"
"2003-01-31","2003Jan","16.493742"
"2003-02-28","2003Feb","16.686063"
"2003-03-31","2003Mar","16.588305"
"2003-04-30","2003Apr","16.090516"
"2003-05-31","2003May","15.547629"
"2003-06-30","2003Jun","15.299979"
"2003-07-31","2003Jul","15.106050"
"2003-08-31","2003Aug","14.911668"
"2003-09-30","2003Sep","14.798143"
"2003-10-31","2003Oct","14.804584"
"2003-11-30","2003Nov","15.206915"
