"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.15_24.M)"
"1997-01-31","1997Jan","22.870781"
"1997-02-28","1997Feb","22.826808"
"1997-03-31","1997Mar","22.147874"
"1997-04-30","1997Apr","21.044213"
"1997-05-31","1997May","20.172948"
"1997-06-30","1997Jun","19.829724"
"1997-07-31","1997Jul","19.709119"
"1997-08-31","1997Aug","19.466749"
"1997-09-30","1997Sep","19.251809"
"1997-10-31","1997Oct","18.861231"
"1997-11-30","1997Nov","18.824381"
"1997-12-31","1997Dec","19.418608"
"1998-01-31","1998Jan","20.299542"
"1998-02-28","1998Feb","20.908761"
"1998-03-31","1998Mar","20.664479"
"1998-04-30","1998Apr","20.042267"
"1998-05-31","1998May","19.435242"
"1998-06-30","1998Jun","19.182139"
"1998-07-31","1998Jul","19.345535"
"1998-08-31","1998Aug","19.455139"
"1998-09-30","1998Sep","19.703876"
"1998-10-31","1998Oct","20.210637"
"1998-11-30","1998Nov","21.060006"
"1998-12-31","1998Dec","22.492869"
"1999-01-31","1999Jan","24.949120"
"1999-02-28","1999Feb","27.384816"
"1999-03-31","1999Mar","28.576651"
"1999-04-30","1999Apr","28.486844"
"1999-05-31","1999May","27.703883"
"1999-06-30","1999Jun","27.065322"
"1999-07-31","1999Jul","27.378816"
"1999-08-31","1999Aug","28.412182"
"1999-09-30","1999Sep","29.443967"
"1999-10-31","1999Oct","30.017147"
"1999-11-30","1999Nov","30.705716"
"1999-12-31","1999Dec","32.084292"
"2000-01-31","2000Jan","34.485491"
"2000-02-29","2000Feb","35.924985"
"2000-03-31","2000Mar","36.212557"
"2000-04-30","2000Apr","35.651377"
"2000-05-31","2000May","34.442524"
"2000-06-30","2000Jun","32.785719"
"2000-07-31","2000Jul","31.687459"
"2000-08-31","2000Aug","30.937244"
"2000-09-30","2000Sep","30.920075"
"2000-10-31","2000Oct","30.788669"
"2000-11-30","2000Nov","31.769763"
"2000-12-31","2000Dec","33.529861"
"2001-01-31","2001Jan","36.111339"
"2001-02-28","2001Feb","37.397127"
"2001-03-31","2001Mar","38.197728"
"2001-04-30","2001Apr","38.342760"
"2001-05-31","2001May","38.039423"
"2001-06-30","2001Jun","37.670342"
"2001-07-31","2001Jul","37.491534"
