"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.25_74.F)"
"1997-01-31","1997Jan","12.044735"
"1997-02-28","1997Feb","11.896373"
"1997-03-31","1997Mar","11.816377"
"1997-04-30","1997Apr","11.620189"
"1997-05-31","1997May","11.334630"
"1997-06-30","1997Jun","11.302248"
"1997-07-31","1997Jul","11.331458"
"1997-08-31","1997Aug","11.152582"
"1997-09-30","1997Sep","10.844815"
"1997-10-31","1997Oct","10.550406"
"1997-11-30","1997Nov","10.420141"
"1997-12-31","1997Dec","10.413981"
"1998-01-31","1998Jan","10.559058"
"1998-02-28","1998Feb","10.695365"
"1998-03-31","1998Mar","10.683335"
"1998-04-30","1998Apr","10.528807"
"1998-05-31","1998May","10.292206"
"1998-06-30","1998Jun","10.206760"
"1998-07-31","1998Jul","10.276842"
"1998-08-31","1998Aug","10.322527"
"1998-09-30","1998Sep","10.356723"
"1998-10-31","1998Oct","10.438192"
"1998-11-30","1998Nov","10.605968"
"1998-12-31","1998Dec","10.886481"
"1999-01-31","1999Jan","11.534323"
"1999-02-28","1999Feb","12.207721"
"1999-03-31","1999Mar","12.527196"
"1999-04-30","1999Apr","12.626976"
"1999-05-31","1999May","12.573566"
"1999-06-30","1999Jun","12.677419"
"1999-07-31","1999Jul","12.956891"
"1999-08-31","1999Aug","13.196918"
"1999-09-30","1999Sep","13.395403"
"1999-10-31","1999Oct","13.621539"
"1999-11-30","1999Nov","13.896898"
"1999-12-31","1999Dec","14.275183"
"2000-01-31","2000Jan","14.945041"
"2000-02-29","2000Feb","15.623822"
"2000-03-31","2000Mar","16.049546"
"2000-04-30","2000Apr","15.991728"
"2000-05-31","2000May","15.656793"
"2000-06-30","2000Jun","15.358580"
"2000-07-31","2000Jul","14.946008"
"2000-08-31","2000Aug","14.660002"
"2000-09-30","2000Sep","14.635422"
"2000-10-31","2000Oct","14.915154"
"2000-11-30","2000Nov","15.281176"
"2000-12-31","2000Dec","15.697796"
"2001-01-31","2001Jan","16.262725"
"2001-02-28","2001Feb","16.528092"
"2001-03-31","2001Mar","16.796659"
"2001-04-30","2001Apr","16.977612"
"2001-05-31","2001May","16.840592"
"2001-06-30","2001Jun","16.753164"
"2001-07-31","2001Jul","16.387305"
"2001-08-31","2001Aug","16.176359"
"2001-09-30","2001Sep","16.109717"
"2001-10-31","2001Oct","16.273348"
"2001-11-30","2001Nov","16.582499"
"2001-12-31","2001Dec","16.962332"
"2002-01-31","2002Jan","17.552162"
"2002-02-28","2002Feb","17.786556"
"2002-03-31","2002Mar","17.879917"
"2002-04-30","2002Apr","17.866121"
"2002-05-31","2002May","17.247703"
"2002-06-30","2002Jun","17.686773"
"2002-07-31","2002Jul","17.915750"
"2002-08-31","2002Aug","17.888252"
"2002-09-30","2002Sep","17.692299"
"2002-10-31","2002Oct","17.456677"
"2002-11-30","2002Nov","17.425949"
"2002-12-31","2002Dec","17.568408"
"2003-01-31","2003Jan","17.993245"
"2003-02-28","2003Feb","17.988280"
"2003-03-31","2003Mar","17.662231"
"2003-04-30","2003Apr","17.046214"
"2003-05-31","2003May","16.688172"
"2003-06-30","2003Jun","16.851760"
"2003-07-31","2003Jul","17.288051"
"2003-08-31","2003Aug","17.434137"
"2003-09-30","2003Sep","17.296858"
"2003-10-31","2003Oct","17.074846"
"2003-11-30","2003Nov","17.157935"
"2003-12-31","2003Dec","17.517734"
"2004-01-31","2004Jan","18.128060"
"2004-02-29","2004Feb","18.173938"
"2004-03-31","2004Mar","17.947890"
"2004-04-30","2004Apr","17.340602"
"2004-05-31","2004May","16.824977"
"2004-06-30","2004Jun","16.644597"
"2004-07-31","2004Jul","16.466267"
"2004-08-31","2004Aug","16.360026"
"2004-09-30","2004Sep","16.289379"
"2004-10-31","2004Oct","16.409735"
"2004-11-30","2004Nov","16.708191"
"2004-12-31","2004Dec","17.275274"
"2005-01-31","2005Jan","17.120282"
"2005-02-28","2005Feb","17.593660"
"2005-03-31","2005Mar","17.026484"
"2005-04-30","2005Apr","16.866347"
"2005-05-31","2005May","16.422549"
"2005-06-30","2005Jun","16.530981"
"2005-07-31","2005Jul","16.898491"
"2005-08-31","2005Aug","17.065162"
"2005-09-30","2005Sep","16.959941"
"2005-10-31","2005Oct","16.633667"
"2005-11-30","2005Nov","16.276444"
"2005-12-31","2005Dec","15.821128"
"2006-01-31","2006Jan","15.216355"
"2006-02-28","2006Feb","14.524862"
