"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.15_24.F)"
"1997-01-31","1997Jan","28.574203"
"1997-02-28","1997Feb","27.629030"
"1997-03-31","1997Mar","26.823643"
"1997-04-30","1997Apr","26.295342"
"1997-05-31","1997May","26.136418"
"1997-06-30","1997Jun","26.470216"
"1997-07-31","1997Jul","26.867913"
"1997-08-31","1997Aug","26.890639"
"1997-09-30","1997Sep","26.640073"
"1997-10-31","1997Oct","26.058502"
"1997-11-30","1997Nov","25.472647"
"1997-12-31","1997Dec","25.140463"
"1998-01-31","1998Jan","24.971565"
"1998-02-28","1998Feb","24.682036"
"1998-03-31","1998Mar","24.093352"
"1998-04-30","1998Apr","23.626891"
"1998-05-31","1998May","23.518452"
"1998-06-30","1998Jun","23.752039"
"1998-07-31","1998Jul","24.451554"
"1998-08-31","1998Aug","25.211188"
"1998-09-30","1998Sep","25.943325"
"1998-10-31","1998Oct","26.404115"
"1998-11-30","1998Nov","26.676294"
"1998-12-31","1998Dec","27.176254"
"1999-01-31","1999Jan","28.281718"
"1999-02-28","1999Feb","29.304429"
"1999-03-31","1999Mar","29.614279"
"1999-04-30","1999Apr","29.828394"
"1999-05-31","1999May","30.100795"
"1999-06-30","1999Jun","30.675658"
"1999-07-31","1999Jul","31.804890"
"1999-08-31","1999Aug","33.073713"
"1999-09-30","1999Sep","34.259537"
"1999-10-31","1999Oct","34.971314"
"1999-11-30","1999Nov","35.266487"
"1999-12-31","1999Dec","35.748953"
"2000-01-31","2000Jan","37.822661"
"2000-02-29","2000Feb","38.728137"
"2000-03-31","2000Mar","38.621355"
"2000-04-30","2000Apr","38.084682"
"2000-05-31","2000May","37.162214"
"2000-06-30","2000Jun","36.456183"
"2000-07-31","2000Jul","35.988919"
"2000-08-31","2000Aug","35.723672"
"2000-09-30","2000Sep","35.843786"
"2000-10-31","2000Oct","35.808498"
"2000-11-30","2000Nov","36.355618"
"2000-12-31","2000Dec","37.380543"
"2001-01-31","2001Jan","39.125866"
"2001-02-28","2001Feb","39.991860"
"2001-03-31","2001Mar","40.503879"
"2001-04-30","2001Apr","40.601961"
"2001-05-31","2001May","40.464088"
"2001-06-30","2001Jun","40.713923"
"2001-07-31","2001Jul","41.290984"
"2001-08-31","2001Aug","41.742028"
"2001-09-30","2001Sep","42.018104"
"2001-10-31","2001Oct","41.727480"
"2001-11-30","2001Nov","41.833801"
"2001-12-31","2001Dec","42.196558"
